총구매액,최대구매액,환불금액,주구매상품,주구매지점,내점일수,내점당구매건수,주말방문비율,구매주기
0.05081001818996088,0.02008959712297128,0.05081001818996088,5,2,19,3.8947368421052633,0.527027027027027,17
0.022965770114676508,0.007226392680036246,0.022965770114676508,21,2,2,1.5,0.0,1
0.02341239382652543,0.006526018818496071,0.02341239382652543,6,2,2,2.0,0.0,1
0.028834439364051778,0.011170751711124673,0.028834439364051778,5,0,18,2.4444444444444446,0.3181818181818182,16
0.03429511090704397,0.038037205776041014,0.03429511090704397,15,0,2,1.5,0.0,85
0.026856574043629934,0.017677041688450596,0.026856574043629934,11,2,3,1.6666666666666667,0.2,42
0.026299662478336698,0.014943187983444683,0.026299662478336698,22,2,5,2.4,0.3333333333333333,42
0.2386728491792262,0.042411371704050474,0.2386728491792262,13,0,63,2.6349206349206344,0.22289156626506024,5
0.3117799226595062,0.2481324538028046,0.3117799226595062,5,0,18,5.9444444444444455,0.41121495327102797,15
0.033280988837863165,0.02356187316891693,0.033280988837863165,9,0,1,12.0,0.0,0
0.1252450247770713,0.09902046303590227,0.1252450247770713,11,1,25,2.12,0.22641509433962265,13
0.03236612583678225,0.01911865629681196,0.03236612583678225,41,0,3,2.0,0.8333333333333334,89
0.02328526813286061,0.007704112476941917,0.02328526813286061,6,2,2,1.0,0.0,16
0.06551541329790068,0.02481324538028046,0.06551541329790068,22,2,27,2.1481481481481484,0.10344827586206896,10
0.07408110044243572,0.03592340136495397,0.07408110044243572,9,0,84,3.7142857142857135,0.3205128205128205,4
0.3598297263304997,0.17823598794285964,0.3598297263304997,5,0,152,3.5855263157894735,0.1779816513761468,2
0.17343418262318977,0.10805238289171262,0.17343418262318977,3,0,26,2.230769230769231,0.3620689655172414,13
0.0702320122626286,0.04446317118574564,0.0702320122626286,41,0,23,2.260869565217391,0.2307692307692308,14
0.040528310978273085,0.038037205776041014,0.040528310978273085,4,0,2,3.5,0.7142857142857143,10
0.023360895292211012,0.004920936669010641,0.023360895292211012,9,2,2,9.5,0.0,11
0.044315924203435136,0.017901104956025822,0.044315924203435136,5,2,11,3.272727272727273,0.027777777777777776,26
0.10984266094888412,0.032794970836545145,0.10984266094888412,9,1,278,5.471223021582733,0.26627218934911245,1
0.0760410166251825,0.02849972027321627,0.0760410166251825,9,2,65,3.4923076923076923,0.20704845814977973,5
0.02225632455482571,0.004448853683867868,0.02225632455482571,9,2,1,6.0,0.0,0
0.04416555808080597,0.02141002027843032,0.04416555808080597,0,2,15,2.6666666666666665,0.2,9
0.022298149749933445,0.004991396816046876,0.022298149749933445,21,0,1,1.0,0.0,0
0.14915154607216777,0.07897455120409345,0.14915154607216777,5,0,53,2.792452830188679,0.4932432432432433,6
0.11343474054502549,0.05445442003548374,0.11343474054502549,5,2,82,10.25609756097561,0.4161712247324614,4
0.08066799618533678,0.031036285566520723,0.08066799618533678,5,2,23,2.4782608695652173,0.7368421052631579,15
0.022974210082087037,0.005104133051304852,0.022974210082087037,0,2,3,3.6666666666666665,0.0,28
0.10664927194294394,0.022303736783437923,0.10664927194294394,22,2,27,2.7777777777777777,0.26666666666666666,12
0.02221614946805958,0.004581600600884134,0.02221614946805958,0,2,2,2.0,0.75,48
0.22430218612541003,0.06965971976590321,0.22430218612541003,5,2,108,4.796296296296297,0.3706563706563705,3
0.03809142087667991,0.015398360533298763,0.03809142087667991,5,2,15,2.8666666666666667,0.04651162790697674,4
0.03018955716391821,0.02662266195617097,0.03018955716391821,20,2,8,1.75,0.14285714285714285,33
0.10231335970776144,0.03280060764830804,0.10231335970776144,5,2,122,6.5163934426229515,0.2767295597484277,2
0.02893983582491204,0.025537575691812957,0.02893983582491204,22,2,2,2.0,1.0,24
0.06663580318617315,0.04494230018559203,0.06663580318617315,5,0,13,2.8461538461538463,0.10810810810810813,24
0.02621294760120109,0.012319252107815301,0.02621294760120109,41,0,3,1.0,0.0,40
0.10199829846047544,0.04603161405877222,0.10199829846047544,11,1,31,1.5483870967741935,0.2708333333333333,11
0.30872132056453117,0.06515027035558418,0.30872132056453117,41,0,41,3.3414634146341466,0.656934306569343,8
0.026491613856850466,0.017956063870714085,0.026491613856850466,20,0,3,1.6666666666666667,0.2,77
0.046800271757689804,0.016432433651202543,0.046800271757689804,11,2,14,2.4285714285714284,0.5882352941176471,21
0.03324746048852409,0.020950620119754067,0.03324746048852409,0,2,7,2.2857142857142856,0.1875,32
0.05916977854859913,0.043341445644928776,0.05916977854859913,24,2,20,2.55,0.35294117647058826,16
0.024969452053616448,0.007105201227133921,0.024969452053616448,5,0,21,2.7142857142857144,0.17543859649122806,14
0.023614447909171502,0.00911472462060734,0.023614447909171502,33,0,2,2.5,0.0,18
0.02512816974499499,0.007323627682946249,0.02512816974499499,0,2,5,4.2,0.047619047619047616,35
0.07052083173593093,0.021831371957707003,0.07052083173593093,5,0,42,4.714285714285714,0.3787878787878788,8
0.027459335047843605,0.00544356776363721,0.027459335047843605,9,2,18,6.4444444444444455,0.3706896551724138,13
0.036942208815409994,0.015666109092036456,0.036942208815409994,36,0,12,2.583333333333333,0.2903225806451613,30
0.02773298362710727,0.017440295594408847,0.02773298362710727,21,2,3,1.0,0.3333333333333333,76
0.0279288876886128,0.009923607108583315,0.0279288876886128,0,0,25,2.8,0.5857142857142857,12
0.023845126320192436,0.010170217623210137,0.023845126320192436,41,0,1,1.0,0.0,0
0.08827819482979889,0.0565169294595284,0.08827819482979889,9,2,96,3.6666666666666665,0.30113636363636365,3
0.07504870797800738,0.08031329399778192,0.07504870797800738,0,2,23,2.9130434782608696,0.2835820895522388,15
0.07832017404905003,0.02676358225024344,0.07832017404905003,5,0,19,4.368421052631579,0.1686746987951807,16
0.20646041914797675,0.07254717659144812,0.20646041914797675,22,2,38,1.3157894736842106,0.44,8
0.022918413689056335,0.004679962966146718,0.022918413689056335,0,0,7,1.1428571428571428,0.0,38
0.06383108204604292,0.052129235183287985,0.06383108204604292,0,2,17,4.294117647058823,0.3561643835616438,19
0.023393114499472952,0.007801347479851922,0.023393114499472952,33,2,2,2.5,0.0,85
0.02251388457775868,0.007210891447688274,0.02251388457775868,17,2,2,1.0,0.5,1
0.02298344984690804,0.0072855792035466825,0.02298344984690804,13,0,1,1.0,0.0,0
0.02223159397700184,0.004479856148563811,0.02223159397700184,9,0,1,7.0,0.0,0
0.029108555193381562,0.008267793653231797,0.029108555193381562,9,2,12,3.9166666666666665,0.2765957446808511,26
